Algorithm,Data Count,Thread Count,Mean Execution Time (s)
Bubble-Sort,1000,1,0.0024028083
Bubble-Sort,5000,1,0.0616279375
Bubble-Sort,10000,1,0.2706816557
Bubble-Sort,20000,1,1.1772869826
Bubble-Sort,40000,1,4.8420622367
Bubble-Sort,60000,1,11.0801380679
Bubble-Sort,80000,1,19.7361797654
Bubble-Sort,100000,1,30.8882639482
Bubble-Sort,200000,1,124.6022764286
Bubble-Sort,300000,1,280.724216636
Bubble-Sort,400000,1,495.188320413
Bubble-Sort,500000,1,776.822895897
Odd-Even-Transposition-Sort,1000,1,0.0022502793
Odd-Even-Transposition-Sort,5000,1,0.0558655443
Odd-Even-Transposition-Sort,10000,1,0.2494372873
Odd-Even-Transposition-Sort,20000,1,0.9788865098
Odd-Even-Transposition-Sort,40000,1,3.9837998999
Odd-Even-Transposition-Sort,60000,1,9.1022774343
Odd-Even-Transposition-Sort,80000,1,16.1064127587
Odd-Even-Transposition-Sort,100000,1,25.1810321274
Odd-Even-Transposition-Sort,200000,1,100.231252651
Odd-Even-Transposition-Sort,300000,1,226.053211357
Odd-Even-Transposition-Sort,400000,1,400.426751025
Odd-Even-Transposition-Sort,500000,1,634.396241299
Shell-Sort,1000,1,0.0017570042
Shell-Sort,5000,1,0.0490854781
Shell-Sort,10000,1,0.1955941217
Shell-Sort,20000,1,0.7705120767
Shell-Sort,40000,1,3.0417494783
Shell-Sort,60000,1,5.6704730329
Shell-Sort,80000,1,12.1952081564
Shell-Sort,100000,1,16.322841126
Shell-Sort,200000,1,65.7987660648
Shell-Sort,300000,1,174.246453292
Shell-Sort,400000,1,263.5853297
Shell-Sort,500000,1,394.785282869
Parallel-Odd-Even-Transposition-Sort,1000,1,0.0043995729
Parallel-Odd-Even-Transposition-Sort,1000,2,0.0056291712
Parallel-Odd-Even-Transposition-Sort,1000,4,0.0055408402
Parallel-Odd-Even-Transposition-Sort,1000,8,0.0127549767
Parallel-Odd-Even-Transposition-Sort,1000,16,0.0483956481
Parallel-Odd-Even-Transposition-Sort,5000,1,0.0717712518
Parallel-Odd-Even-Transposition-Sort,5000,2,0.0281106742
Parallel-Odd-Even-Transposition-Sort,5000,4,0.0247649248
Parallel-Odd-Even-Transposition-Sort,5000,8,0.0297316774
Parallel-Odd-Even-Transposition-Sort,5000,16,0.1363136705
Parallel-Odd-Even-Transposition-Sort,10000,1,0.224461884
Parallel-Odd-Even-Transposition-Sort,10000,2,0.1094497986
Parallel-Odd-Even-Transposition-Sort,10000,4,0.0678424353
Parallel-Odd-Even-Transposition-Sort,10000,16,0.2360771161
Parallel-Odd-Even-Transposition-Sort,10000,8,0.0863311228
Parallel-Odd-Even-Transposition-Sort,20000,1,0.9341625587
Parallel-Odd-Even-Transposition-Sort,20000,2,0.4431300019
Parallel-Odd-Even-Transposition-Sort,20000,4,0.2716702308
Parallel-Odd-Even-Transposition-Sort,20000,8,0.2743011727
Parallel-Odd-Even-Transposition-Sort,20000,16,0.6438009419
Parallel-Odd-Even-Transposition-Sort,40000,1,3.9170673179
Parallel-Odd-Even-Transposition-Sort,40000,2,1.8943826517
Parallel-Odd-Even-Transposition-Sort,40000,4,1.0648950346
Parallel-Odd-Even-Transposition-Sort,40000,8,0.9877953404
Parallel-Odd-Even-Transposition-Sort,40000,16,1.7555050802
Parallel-Odd-Even-Transposition-Sort,60000,1,8.9916148756
Parallel-Odd-Even-Transposition-Sort,60000,2,4.3717881219
Parallel-Odd-Even-Transposition-Sort,60000,4,2.5857709952
Parallel-Odd-Even-Transposition-Sort,60000,8,2.3413656621
Parallel-Odd-Even-Transposition-Sort,60000,16,4.4660238177
Parallel-Odd-Even-Transposition-Sort,80000,1,16.5034890454
Parallel-Odd-Even-Transposition-Sort,80000,2,8.482658389
Parallel-Odd-Even-Transposition-Sort,80000,4,5.7258598321
Parallel-Odd-Even-Transposition-Sort,80000,8,5.4984473008
Parallel-Odd-Even-Transposition-Sort,80000,16,6.2940302104
Parallel-Odd-Even-Transposition-Sort,100000,1,25.6711403608
Parallel-Odd-Even-Transposition-Sort,100000,2,12.8538411842
Parallel-Odd-Even-Transposition-Sort,100000,4,7.5483351732
Parallel-Odd-Even-Transposition-Sort,100000,8,7.6591181798
Parallel-Odd-Even-Transposition-Sort,100000,16,9.2750615252
Parallel-Odd-Even-Transposition-Sort,200000,1,98.8217707366
Parallel-Odd-Even-Transposition-Sort,200000,2,52.5538378264
Parallel-Odd-Even-Transposition-Sort,200000,4,34.4693835264
Parallel-Odd-Even-Transposition-Sort,200000,8,30.6972018662
Parallel-Odd-Even-Transposition-Sort,200000,16,32.5410806188
Parallel-Odd-Even-Transposition-Sort,300000,1,221.758048915
Parallel-Odd-Even-Transposition-Sort,300000,2,118.154205375
Parallel-Odd-Even-Transposition-Sort,300000,4,75.435695432
Parallel-Odd-Even-Transposition-Sort,300000,8,66.757274992
Parallel-Odd-Even-Transposition-Sort,300000,16,71.407025189
Parallel-Odd-Even-Transposition-Sort,400000,1,404.49093609
Parallel-Odd-Even-Transposition-Sort,400000,2,210.192399704
Parallel-Odd-Even-Transposition-Sort,400000,4,134.444006517
Parallel-Odd-Even-Transposition-Sort,400000,8,115.949780129
Parallel-Odd-Even-Transposition-Sort,400000,16,123.78182887
Parallel-Odd-Even-Transposition-Sort,500000,1,643.211717774
Parallel-Odd-Even-Transposition-Sort,500000,2,327.143383715
Parallel-Odd-Even-Transposition-Sort,500000,4,209.064745803
Parallel-Odd-Even-Transposition-Sort,500000,8,185.268861971
Parallel-Odd-Even-Transposition-Sort,500000,16,190.543492433
Parallel-Shell-Sort-Gradual-Halving,1000,1,0.0001160222
Parallel-Shell-Sort-Gradual-Halving,1000,2,0.0001258516
Parallel-Shell-Sort-Gradual-Halving,1000,4,0.0001378102
Parallel-Shell-Sort-Gradual-Halving,1000,8,0.0068138312
Parallel-Shell-Sort-Gradual-Halving,1000,16,0.0005858502
Parallel-Shell-Sort-Gradual-Halving,5000,1,0.0007776907
Parallel-Shell-Sort-Gradual-Halving,5000,2,0.0005769586
Parallel-Shell-Sort-Gradual-Halving,5000,4,0.0005610709
Parallel-Shell-Sort-Gradual-Halving,5000,8,0.0098667189
Parallel-Shell-Sort-Gradual-Halving,5000,16,0.000895235
Parallel-Shell-Sort-Gradual-Halving,10000,1,0.0015238828
Parallel-Shell-Sort-Gradual-Halving,10000,2,0.0009904061
Parallel-Shell-Sort-Gradual-Halving,10000,4,0.000743426
Parallel-Shell-Sort-Gradual-Halving,10000,8,0.009255718
Parallel-Shell-Sort-Gradual-Halving,10000,16,0.001276754
Parallel-Shell-Sort-Gradual-Halving,20000,1,0.003438078
Parallel-Shell-Sort-Gradual-Halving,20000,2,0.0020642728
Parallel-Shell-Sort-Gradual-Halving,20000,4,0.0014414798
Parallel-Shell-Sort-Gradual-Halving,20000,8,0.0071212781
Parallel-Shell-Sort-Gradual-Halving,20000,16,0.0025664078
Parallel-Shell-Sort-Gradual-Halving,40000,1,0.007596714
Parallel-Shell-Sort-Gradual-Halving,40000,2,0.0043324886
Parallel-Shell-Sort-Gradual-Halving,40000,4,0.0030763631
Parallel-Shell-Sort-Gradual-Halving,40000,8,0.010429079
Parallel-Shell-Sort-Gradual-Halving,40000,16,0.0036892813
Parallel-Shell-Sort-Gradual-Halving,60000,1,0.012006041
Parallel-Shell-Sort-Gradual-Halving,60000,2,0.0075229596
Parallel-Shell-Sort-Gradual-Halving,60000,4,0.0054520347
Parallel-Shell-Sort-Gradual-Halving,60000,8,0.0125844578
Parallel-Shell-Sort-Gradual-Halving,60000,16,0.0052426324
Parallel-Shell-Sort-Gradual-Halving,80000,1,0.0172282489
Parallel-Shell-Sort-Gradual-Halving,80000,2,0.0099466387
Parallel-Shell-Sort-Gradual-Halving,80000,4,0.0071571829
Parallel-Shell-Sort-Gradual-Halving,80000,8,0.0198035278
Parallel-Shell-Sort-Gradual-Halving,80000,16,0.0069511669
Parallel-Shell-Sort-Gradual-Halving,100000,1,0.024062812
Parallel-Shell-Sort-Gradual-Halving,100000,2,0.0128602074
Parallel-Shell-Sort-Gradual-Halving,100000,4,0.009147252
Parallel-Shell-Sort-Gradual-Halving,100000,8,0.0215467524
Parallel-Shell-Sort-Gradual-Halving,100000,16,0.0091316722
Parallel-Shell-Sort-Gradual-Halving,200000,1,0.0546604566
Parallel-Shell-Sort-Gradual-Halving,200000,2,0.0291685302
Parallel-Shell-Sort-Gradual-Halving,200000,4,0.0194057934
Parallel-Shell-Sort-Gradual-Halving,200000,8,0.028510189
Parallel-Shell-Sort-Gradual-Halving,200000,16,0.0191293724
Parallel-Shell-Sort-Gradual-Halving,300000,1,0.0823413072
Parallel-Shell-Sort-Gradual-Halving,300000,2,0.0437161172
Parallel-Shell-Sort-Gradual-Halving,300000,4,0.0328254946
Parallel-Shell-Sort-Gradual-Halving,300000,8,0.113351331
Parallel-Shell-Sort-Gradual-Halving,300000,16,0.024730842
Parallel-Shell-Sort-Gradual-Halving,400000,1,0.1154088756
Parallel-Shell-Sort-Gradual-Halving,400000,2,0.060606625
Parallel-Shell-Sort-Gradual-Halving,400000,4,0.0438252642
Parallel-Shell-Sort-Gradual-Halving,400000,8,0.107718486
Parallel-Shell-Sort-Gradual-Halving,400000,16,0.0440991242
Parallel-Shell-Sort-Gradual-Halving,500000,1,0.1362702092
Parallel-Shell-Sort-Gradual-Halving,500000,2,0.0795114286
Parallel-Shell-Sort-Gradual-Halving,500000,4,0.0540033234
Parallel-Shell-Sort-Gradual-Halving,500000,8,0.2975018922
Parallel-Shell-Sort-Gradual-Halving,500000,16,0.046197056
Parallel-Shell-Sort-Hibbard-Sequence,1000,1,0.0002227027
Parallel-Shell-Sort-Hibbard-Sequence,1000,2,0.0002270883
Parallel-Shell-Sort-Hibbard-Sequence,1000,4,0.0001796288
Parallel-Shell-Sort-Hibbard-Sequence,1000,8,0.0076201447
Parallel-Shell-Sort-Hibbard-Sequence,1000,16,0.0006867567
Parallel-Shell-Sort-Hibbard-Sequence,5000,1,0.0008005272
Parallel-Shell-Sort-Hibbard-Sequence,5000,2,0.0005889769
Parallel-Shell-Sort-Hibbard-Sequence,5000,4,0.0004748321
Parallel-Shell-Sort-Hibbard-Sequence,5000,8,0.007167066
Parallel-Shell-Sort-Hibbard-Sequence,5000,16,0.0010458463
Parallel-Shell-Sort-Hibbard-Sequence,10000,1,0.0018094457
Parallel-Shell-Sort-Hibbard-Sequence,10000,2,0.0011815263
Parallel-Shell-Sort-Hibbard-Sequence,10000,4,0.000940152
Parallel-Shell-Sort-Hibbard-Sequence,10000,8,0.0079271553
Parallel-Shell-Sort-Hibbard-Sequence,10000,16,0.0014104779
Parallel-Shell-Sort-Hibbard-Sequence,20000,1,0.0041917461
Parallel-Shell-Sort-Hibbard-Sequence,20000,2,0.0025645993
Parallel-Shell-Sort-Hibbard-Sequence,20000,4,0.0018749088
Parallel-Shell-Sort-Hibbard-Sequence,20000,8,0.0138917585
Parallel-Shell-Sort-Hibbard-Sequence,20000,16,0.0023091777
Parallel-Shell-Sort-Hibbard-Sequence,40000,1,0.0093606897
Parallel-Shell-Sort-Hibbard-Sequence,40000,2,0.0055948565
Parallel-Shell-Sort-Hibbard-Sequence,40000,4,0.003891705
Parallel-Shell-Sort-Hibbard-Sequence,40000,8,0.011296769
Parallel-Shell-Sort-Hibbard-Sequence,40000,16,0.0036881603
Parallel-Shell-Sort-Hibbard-Sequence,60000,1,0.0147576036
Parallel-Shell-Sort-Hibbard-Sequence,60000,2,0.0081541226
Parallel-Shell-Sort-Hibbard-Sequence,60000,4,0.0054454264
Parallel-Shell-Sort-Hibbard-Sequence,60000,8,0.0094921519
Parallel-Shell-Sort-Hibbard-Sequence,60000,16,0.0053113553
Parallel-Shell-Sort-Hibbard-Sequence,80000,1,0.0197075926
Parallel-Shell-Sort-Hibbard-Sequence,80000,2,0.0118485022
Parallel-Shell-Sort-Hibbard-Sequence,80000,4,0.0080760815
Parallel-Shell-Sort-Hibbard-Sequence,80000,8,0.009757968
Parallel-Shell-Sort-Hibbard-Sequence,80000,16,0.007586132
Parallel-Shell-Sort-Hibbard-Sequence,100000,1,0.0284322196
Parallel-Shell-Sort-Hibbard-Sequence,100000,2,0.014945354
Parallel-Shell-Sort-Hibbard-Sequence,100000,4,0.0099236306
Parallel-Shell-Sort-Hibbard-Sequence,100000,8,0.0078345594
Parallel-Shell-Sort-Hibbard-Sequence,100000,16,0.0089508908
Parallel-Shell-Sort-Hibbard-Sequence,200000,1,0.0586942048
Parallel-Shell-Sort-Hibbard-Sequence,200000,2,0.0326963984
Parallel-Shell-Sort-Hibbard-Sequence,200000,4,0.020659978
Parallel-Shell-Sort-Hibbard-Sequence,200000,8,0.0150368526
Parallel-Shell-Sort-Hibbard-Sequence,200000,16,0.0172142492
Parallel-Shell-Sort-Hibbard-Sequence,300000,1,0.0954365884
Parallel-Shell-Sort-Hibbard-Sequence,300000,2,0.0501971524
Parallel-Shell-Sort-Hibbard-Sequence,300000,4,0.0363003164
Parallel-Shell-Sort-Hibbard-Sequence,300000,8,0.1515741846
Parallel-Shell-Sort-Hibbard-Sequence,300000,16,0.029540666
Parallel-Shell-Sort-Hibbard-Sequence,400000,1,0.1323158122
Parallel-Shell-Sort-Hibbard-Sequence,400000,2,0.0746978842
Parallel-Shell-Sort-Hibbard-Sequence,400000,4,0.048753065
Parallel-Shell-Sort-Hibbard-Sequence,400000,8,0.1581163424
Parallel-Shell-Sort-Hibbard-Sequence,400000,16,0.040731122
Parallel-Shell-Sort-Hibbard-Sequence,500000,1,0.1731763882
Parallel-Shell-Sort-Hibbard-Sequence,500000,2,0.0999991686
Parallel-Shell-Sort-Hibbard-Sequence,500000,4,0.0663707694
Parallel-Shell-Sort-Hibbard-Sequence,500000,8,0.1987161396
Parallel-Shell-Sort-Hibbard-Sequence,500000,16,0.0501998278
